3340	x	MERPER	Merops persicus	Vihermehiläissyöjä	Grön biätare	Blue-cheeked Bee-eater
3360	x	CORGAR	Coracias garrulus	Sininärhi	Blåkråka	European Roller
3380	x	UPUEPO	Upupa epops	Harjalintu	Härfågel	Hoopoe
3390		Lahko	Piciformes	Tikkalinnut		
3410		JYNTOR	Jynx torquilla	Käenpiika	Göktyta	Eurasian Wryneck
3420		PICCAN	Picus canus	Harmaapäätikka	Gråspett	Grey-headed Woodpecker
3430	x	PICVIR	Picus viridis	Vihertikka	Gröngöling	European Green Woodpecker
3440		DRYMAR	Dryocopus martius	Palokärki	Spillkråka	Black Woodpecker
3450		DENMAJ	Dendrocopos major	Käpytikka	Större hackspett	Great Spotted Woodpecker
3460	x	DENMED	Dendrocopos medius	Tammitikka	Mellanspett	Middle Spotted Woodpecker
3470	x	DENLEU	Dendrocopos leucotos	Valkoselkätikka	Vitryggig hackspett	White-backed Woodpecker
3480		DENMIN	Dendrocopos minor	Pikkutikka	Mindre hackspett	Lesser Spotted Woodpecker
3490		PICTRI	Picoides tridactylus	Pohjantikka	Tretåig hackspett	Three-toed Woodpecker
3500		Lahko	Passeriformes	Varpuslinnut		
3520	x	MELCAL	Melanocorypha calandra	Arokiuru	Kalanderlärka	Calandra Lark
3530	x	MELBIM	Melanocorypha bimaculata	Ylänkökiuru	Asiatisk kalanderlärka	Bimaculated Lark
3540	x	MELLEU	Melanocorypha leucoptera	Valkosiipikiuru	Vitvingad lärka	White-winged Lark
3550	x	MELYEL	Melanocorypha yeltoniensis	Mustakiuru	Svartlärka	Black Lark
3560	x	CALBRA	Calandrella brachydactyla	Lyhytvarvaskiuru	Korttålärka	Greater Short-toed Lark
3570	x	CALENS	Calandrella rufescens	Pikkukiuru	Dvärglärka	Lesser Short-toed Lark
3580	x	GALCRI	Galerida cristata	Töyhtökiuru	Tofslärka	Crested Lark
3590		LULARB	Lullula arborea	Kangaskiuru	Trädlärka	Woodlark
3600		ALAARV	Alauda arvensis	Kiuru	Sånglärka	Eurasian Skylark
